"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\7702-48817743\Process(_Total)\Virtual Bytes","\\7702-48817743\Process(AnyDesk)\Virtual Bytes","\\7702-48817743\Process(AnyDesk#1)\Virtual Bytes","\\7702-48817743\Process(AnyDesk#2)\Virtual Bytes","\\7702-48817743\Process(_Total)\Private Bytes","\\7702-48817743\Process(AnyDesk)\Private Bytes","\\7702-48817743\Process(AnyDesk#1)\Private Bytes","\\7702-48817743\Process(AnyDesk#2)\Private Bytes"
"09/16/2021 08:03:19.303","238133054517248","111489024","119283712","254767104","1332215808","20406272","19542016","57315328"
"09/16/2021 08:03:21.297","238133055565824","111489024","119283712","254767104","1332383744","20406272","19542016","57315328"
"09/16/2021 08:03:23.301","238133055877120","111489024","119283712","254767104","1330814976","20406272","19542016","57315328"
"09/16/2021 08:03:25.306","238133055762432","111489024","119283712","254767104","1330581504","20406272","19542016","57315328"
"09/16/2021 08:03:27.295","238133053411328","111489024","119283712","254767104","1330221056","20406272","19542016","57315328"
"09/16/2021 08:03:29.300","238133053001728","111489024","119283712","253456384","1330630656","20406272","19542016","57245696"
"09/16/2021 08:03:31.305","238133053698048","111489024","119283712","253456384","1332064256","20406272","19542016","57245696"
"09/16/2021 08:03:33.295","242539902058496","111489024","119283712","253456384","1341005824","20406272","19542016","57245696"
"09/16/2021 08:03:35.301","242539899781120","111489024","119283712","253456384","1337233408","20406272","19542016","57245696"
"09/16/2021 08:03:37.303","242539898925056","111489024","119283712","253456384","1337475072","20406272","19542016","57245696"
"09/16/2021 08:03:39.308","238133060128768","111489024","119283712","253456384","1333440512","20406272","19542016","57245696"
"09/16/2021 08:03:41.297","238133061828608","111489024","119283712","254767104","1333403648","20406272","19542016","57315328"
"09/16/2021 08:03:43.302","238133061828608","111489024","119283712","254767104","1333387264","20406272","19542016","57315328"
"09/16/2021 08:03:45.305","238133061828608","111489024","119283712","254767104","1333387264","20406272","19542016","57315328"
"09/16/2021 08:03:47.308","238133061304320","111489024","119283712","254767104","1333334016","20406272","19542016","57315328"
"09/16/2021 08:03:49.297","238133060255744","111489024","119283712","254767104","1333166080","20406272","19542016","57315328"
"09/16/2021 08:03:51.302","238133060255744","111489024","119283712","254767104","1333166080","20406272","19542016","57315328"
"09/16/2021 08:03:53.307","238133059731456","111489024","119283712","254767104","1333075968","20406272","19542016","57315328"
"09/16/2021 08:03:55.296","238133058158592","111489024","119283712","254767104","1332908032","20406272","19542016","57315328"
"09/16/2021 08:03:57.300","238133059915776","111489024","119283712","254767104","1333784576","20406272","19542016","57315328"
"09/16/2021 08:03:59.304","238133059715072","111489024","119283712","254767104","1333583872","20406272","19542016","57315328"
"09/16/2021 08:04:01.307","238133051924480","111489024","119283712","254767104","1333018624","20406272","19542016","57315328"
"09/16/2021 08:04:03.297","238133042376704","111489024","119283712","254767104","1332219904","20406272","19542016","57315328"
"09/16/2021 08:04:05.301","238133041422336","111489024","119283712","254767104","1332183040","20406272","19542016","57315328"
"09/16/2021 08:04:07.306","238133044064256","111489024","119283712","254767104","1332322304","20406272","19542016","57315328"
"09/16/2021 08:04:09.295","238133039181824","111489024","119283712","254767104","1332039680","20406272","19542016","57315328"
