"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\7702-48817743\Process(_Total)\Virtual Bytes","\\7702-48817743\Process(AnyDesk)\Virtual Bytes","\\7702-48817743\Process(AnyDesk#1)\Virtual Bytes","\\7702-48817743\Process(AnyDesk#2)\Virtual Bytes","\\7702-48817743\Process(_Total)\Private Bytes","\\7702-48817743\Process(AnyDesk)\Private Bytes","\\7702-48817743\Process(AnyDesk#1)\Private Bytes","\\7702-48817743\Process(AnyDesk#2)\Private Bytes"
"09/16/2021 08:01:28.780","238133047951360","111489024","119283712","254754816","1332514816","20406272","19542016","57298944"
"09/16/2021 08:01:30.775","238133050048512","111489024","119283712","254754816","1332813824","20406272","19542016","57298944"
"09/16/2021 08:01:32.765","238133049958400","111489024","119283712","254754816","1332711424","20406272","19542016","57298944"
"09/16/2021 08:01:34.769","238133049958400","111489024","119283712","254754816","1332711424","20406272","19542016","57298944"
"09/16/2021 08:01:36.774","238133052055552","111489024","119283712","254754816","1332822016","20406272","19542016","57298944"
"09/16/2021 08:01:38.777","238133050482688","111489024","119283712","254754816","1332666368","20406272","19542016","57298944"
"09/16/2021 08:01:40.768","238133049171968","111489024","119283712","254754816","1332592640","20406272","19542016","57298944"
"09/16/2021 08:01:42.773","238133049171968","111489024","119283712","254754816","1332592640","20406272","19542016","57298944"
"09/16/2021 08:01:44.778","238133049171968","111489024","119283712","254754816","1332592640","20406272","19542016","57298944"
"09/16/2021 08:01:46.768","238133048647680","111489024","119283712","254754816","1332539392","20406272","19542016","57298944"
"09/16/2021 08:01:48.773","238133030821888","111489024","119283712","254754816","1331318784","20406272","19542016","57298944"
"09/16/2021 08:01:50.777","238133031346176","111489024","119283712","254754816","1331380224","20406272","19542016","57298944"
"09/16/2021 08:01:52.766","238133030289408","111489024","119283712","254754816","1331236864","20406272","19542016","57298944"
"09/16/2021 08:01:54.771","238133033582592","111489024","119283712","254754816","1330884608","20406272","19542016","57298944"
"09/16/2021 08:01:56.777","238133032517632","111489024","119283712","254754816","1331085312","20406272","19542016","57298944"
"09/16/2021 08:01:58.767","238133049978880","111489024","119283712","254754816","1335910400","20406272","19542016","57303040"
"09/16/2021 08:02:00.771","242539897286656","111489024","119283712","254754816","1336930304","20406272","19542016","57303040"
"09/16/2021 08:02:02.775","242539898949632","111489024","119283712","254754816","1336188928","20406272","19542016","57303040"
"09/16/2021 08:02:04.765","238133060296704","111489024","119283712","254754816","1332813824","20406272","19542016","57303040"
"09/16/2021 08:02:06.771","238133059772416","111489024","119283712","254754816","1332817920","20406272","19542016","57303040"
"09/16/2021 08:02:08.776","238133059551232","111489024","119283712","254754816","1332535296","20406272","19542016","57303040"
"09/16/2021 08:02:10.765","238133059436544","111489024","119283712","254754816","1332420608","20406272","19542016","57303040"
"09/16/2021 08:02:12.769","238133059436544","111489024","119283712","254754816","1332420608","20406272","19542016","57303040"
"09/16/2021 08:02:14.772","238133059436544","111489024","119283712","254754816","1332424704","20406272","19542016","57303040"
"09/16/2021 08:02:16.775","238133059436544","111489024","119283712","254754816","1332424704","20406272","19542016","57303040"
"09/16/2021 08:02:18.766","238133063630848","111489024","119283712","254754816","1332699136","20406272","19542016","57303040"
"09/16/2021 08:02:20.770","238133063630848","111489024","119283712","254754816","1332699136","20406272","19542016","57303040"
"09/16/2021 08:02:22.773","238133068320768","111489024","119283712","254754816","1333174272","20406272","19542016","57303040"
"09/16/2021 08:02:24.776","238133068320768","111489024","119283712","254754816","1333174272","20406272","19542016","57303040"
"09/16/2021 08:02:26.764","238133067579392","111489024","119283712","254754816","1333399552","20406272","19542016","57303040"
